Air Line Pilots Assn
Air Line Pilots Assn
American Federation of Government Employees
American Federation of Government Employees
American Federation of Government Employees
American Federation of Teachers
American Foreign Service Assn
Association of Professional Flight Attendants
Federal Aviation Admin Managers Assn
International Assn of Fire Fighters
International Assn of Fire Fighters
International Assn of Fire Fighters
National Active & Retired Federal Employees Assn
National Air Traffic Controllers Assn
National Air Traffic Controllers Assn
National Air Traffic Controllers Assn
National Air Traffic Controllers Assn
National Air Traffic Controllers Assn
National Air Traffic Controllers Assn
National Air Traffic Controllers Assn
National Air Traffic Controllers Assn
National Air Traffic Controllers Assn
National Air Traffic Controllers Assn
National Air Traffic Controllers Assn
National Air Traffic Controllers Assn
National Air Traffic Controllers Assn
National Air Traffic Controllers Assn
National Air Traffic Controllers Assn
National Assn of Postal Supervisors
National Assn of Postal Supervisors
National Assn/Farm Service Agency County Employees
National Rural Letter Carriers Assn
Netjets Assn of Shared Aircraft Pilots
Painters & Allied Trades Union
Plumbers/Pipefitters Union
Seafarers International Union
United Postmasters & Managers of America
United Postmasters & Managers of America
Air Line Pilots Assn PAC
Air Line Pilots Assn PAC
American Federation of Government Employees PAC
American Federation of Government Employees PAC
American Federation of Government Employees PAC
American Federation of Teachers PAC
American Foreign Service Assn PAC
Association of Professional Flight Attendants PAC
Federal Aviation Admin Managers Assn PAC
International Assn of Fire Fighters PAC
International Assn of Fire Fighters PAC
International Assn of Fire Fighters PAC
National Active & Retired Federal Employees Assn PAC
National Air Traffic Controllers Assn PAC
National Air Traffic Controllers Assn PAC
National Air Traffic Controllers Assn PAC
National Air Traffic Controllers Assn PAC
National Air Traffic Controllers Assn PAC
National Air Traffic Controllers Assn PAC
National Air Traffic Controllers Assn PAC
National Air Traffic Controllers Assn PAC
National Assn of Postal Supervisors PAC
National Assn/Farm Service Agency County Employees PAC
National Rural Letter Carriers Assn PAC
Netjets Assn of Shared Aircraft Pilots PAC
Painters & Allied Trades Union PAC
Plumbers/Pipefitters Union PAC
Seafarers International Union PAC
United Postmasters & Managers of America PAC
United Postmasters & Managers of America PAC
National Active Retired Federal  Employee Association PAC
National Rural Letter Carriers Assoc PAC Pac
FAA Managers Association PAC
